File,Date,Time,Image quality,Location,Session,DateStart,Classifier,CommentsImages,ColourMarkings,EventStart,EventEnd,Duration,Species,JumpoutUse,ParksStaff,DirectionTravel,Total,Horses,DogsOnLeash,DogsOffLeash,AdultFemale,AdultMale,AdultUnknown,Subadult,YLY,YOY,Folder
M0000504.JPG,04-Jun-12,9:02 AM,Ok,Cell 1 2011/12,6,26-May-12,NH,,,,,,White-tailed Deer,None,No,,1,,,,,,,,,,Cell 1_Session 6_26-May-12 to 26-Jun-12
M0001201.JPG,16-Jul-12,7:37 AM,Ok,Cell 1 2011/12,7,28-Jun-12,NH,good image sequence,,,,,Cougar,None,No,,1,,,,,,,,,,Cell 1_Session 7_28-Jun-12 to 22-Jul-12
M0000305.JPG,01-Jul-12,8:49 AM,Ok,Cell 1 2011/12,7,28-Jun-12,NH,,,,,,Mule Deer,None,No,,1,,,,,,,,,,Cell 1_Session 7_28-Jun-12 to 22-Jul-12
M0000101.JPG,28-Jun-12,4:27 AM,Ok,Cell 1 2011/12,7,28-Jun-12,NH,,,,,,Red Squirrel,None,No,,1,,,,,,,,,,Cell 1_Session 7_28-Jun-12 to 22-Jul-12
M0000703.JPG,13-Jul-12,8:34 PM,Ok,Cell 1 2011/12,7,28-Jun-12,NH,,,,,,White-tailed Deer,None,No,,1,,,,,,,,,,Cell 1_Session 7_28-Jun-12 to 22-Jul-12
M0000101.JPG,09-Sep-12,6:54 AM,Ok,Cell 1 2011/12,8,7-Sep-12,Code,,,,,,Marten,None,No,,1,,,,,,1,,,,Cell 1_S8_7-Sep-12 to 4-Oct-12_Stopped 10-Sep
M0000201.JPG,10-Sep-12,5:01 AM,Ok,Cell 1 2011/12,8,7-Sep-12,Code,,,,,,Marten,None,No,,1,,,,,,1,,,,Cell 1_S8_7-Sep-12 to 4-Oct-12_Stopped 10-Sep
M0000303.JPG,07-Oct-12,2:26 AM,Ok,Cell 1 2011/12,9,4-Oct-12,Code,,,,,,Red Fox,None,No,Right,1,,,,,,1,,,,Cell 1_S10_4-Oct-12 to 5-Nov-12_Done
M0000402.JPG,12-Oct-12,9:53 AM,Ok,Cell 1 2011/12,9,4-Oct-12,Code,,,,,,Marten,None,No,,1,,,,,,1,,,,Cell 1_S10_4-Oct-12 to 5-Nov-12_Done
M0001103.JPG,14-Oct-12,4:52 PM,Ok,Cell 1 2011/12,9,4-Oct-12,Code,,,,,,Moose,None,No,Away,1,,,,1,,,,,,Cell 1_S10_4-Oct-12 to 5-Nov-12_Done
M0001401.JPG,22-Oct-12,1:33 PM,Ok,Cell 1 2011/12,9,4-Oct-12,Code,,,,,,White-tailed Deer,None,No,Left,1,,,,,,1,,,,Cell 1_S10_4-Oct-12 to 5-Nov-12_Done
M0001501.JPG,23-Oct-12,6:08 PM,Ok,Cell 1 2011/12,9,4-Oct-12,Code,,,,,,Marten,None,No,,1,,,,,,1,,,,Cell 1_S10_4-Oct-12 to 5-Nov-12_Done
M0001701.JPG,02-Nov-12,12:00 PM,Ok,Cell 1 2011/12,9,4-Oct-12,Code,,,,,,Marten,None,No,,1,,,,,,1,,,,Cell 1_S10_4-Oct-12 to 5-Nov-12_Done
M0001801.JPG,05-Nov-12,12:21 PM,Ok,Cell 1 2011/12,10,4-Oct-12,Code,,,,,,Hiker,None,Yes,,1,,,,,,,,,,Cell 1_S10_4-Oct-12 to 5-Nov-12_Done
M0000105.JPG,06-Nov-12,8:19 PM,Ok,Cell 1 2011/12,10,5-Nov-12,Code,,,,,,Elk,None,No,Right,1,,,,,,1,,,,Cell 1_S11_5-Nov-12 to 3-Dec-12
M0000302.JPG,11-Nov-12,12:02 PM,Ok,Cell 1 2011/12,10,5-Nov-12,Code,,,,,,Marten,None,No,,1,,,,,,1,,,,Cell 1_S11_5-Nov-12 to 3-Dec-12
M0000602.JPG,27-Nov-12,11:51 AM,Ok,Cell 1 2011/12,10,5-Nov-12,Code,,,,,,Red Squirrel,None,No,,1,,,,,,1,,,,Cell 1_S11_5-Nov-12 to 3-Dec-12
M0001701.JPG,03-Dec-12,1:34 PM,Ok,Cell 1 2011/12,10,5-Nov-12,Code,,,,,,Hiker,None,Yes,,2,,,,,,,,,,Cell 1_S11_5-Nov-12 to 3-Dec-12
M0000105.JPG,08-Dec-12,8:34 AM,Ok,Cell 1 2011/12,11,3-Dec-12,Code,,,,,,Marten,None,No,,1,,,,,,1,,,,Cell 1_S12_3-Dec-12 to 11-Jan-13
M0000201.JPG,13-Dec-12,11:42 AM,Ok,Cell 1 2011/12,11,3-Dec-12,Code,,,,,,Marten,None,No,,1,,,,,,1,,,,Cell 1_S12_3-Dec-12 to 11-Jan-13
M0000301.JPG,20-Dec-12,11:43 PM,Ok,Cell 1 2011/12,11,3-Dec-12,Code,,,,,,Unknown Deer,None,No,Right,1,,,,,,1,,,,Cell 1_S12_3-Dec-12 to 11-Jan-13
M0001102.JPG,23-Dec-12,4:53 PM,Ok,Cell 1 2011/12,11,3-Dec-12,Code,,,,,,White-tailed Deer,None,No,Right,1,,,,,1,,,,,Cell 1_S12_3-Dec-12 to 11-Jan-13
M0001303.JPG,24-Dec-12,9:06 AM,Ok,Cell 1 2011/12,11,3-Dec-12,Code,,,,,,Marten,None,No,,1,,,,,,1,,,,Cell 1_S12_3-Dec-12 to 11-Jan-13
M0001503.JPG,02-Jan-13,10:24 AM,Ok,Cell 1 2011/12,11,3-Dec-12,Code,,,,,,Marten,None,No,,1,,,,,,1,,,,Cell 1_S12_3-Dec-12 to 11-Jan-13
M0001701.JPG,09-Jan-13,11:15 AM,Ok,Cell 1 2011/12,11,3-Dec-12,Code,,,,,,Marten,None,No,,1,,,,,,1,,,,Cell 1_S12_3-Dec-12 to 11-Jan-13
M0001905.JPG,11-Jan-13,10:11 AM,Ok,Cell 1 2011/12,11,3-Dec-12,Code,,,,,,Hiker,None,Yes,,1,,,,,,,,,,Cell 1_S12_3-Dec-12 to 11-Jan-13
M0000101.JPG,12-Oct-12,1:52 PM,Ok,Cell 10 2011/12,9,14-Sep-12,Code,,,,,,Hiker,None,Yes,,1,,,,,,,,,,Cell 10_S9_14-Sep-12 to 12-Oct-12
M0000105.JPG,21-Oct-12,7:34 AM,Ok,Cell 10 2011/12,10,12-Oct-12,Code,,,,,,Marten,None,No,,1,,,,,,1,,,,Cell 10_S10_12-Oct-12 to 15-Nov-12
M0000204.JPG,08-Nov-12,3:41 PM,Ok,Cell 10 2011/12,10,12-Oct-12,Code,,,,,,Red Squirrel,None,No,,1,,,,,,1,,,,Cell 10_S10_12-Oct-12 to 15-Nov-12
M0000303.JPG,10-Nov-12,5:41 PM,Ok,Cell 10 2011/12,10,12-Oct-12,Code,,,,,,Marten,None,No,,1,,,,,,1,,,,Cell 10_S10_12-Oct-12 to 15-Nov-12
M0000403.JPG,16-Nov-12,12:19 PM,Ok,Cell 10 2011/12,10,12-Oct-12,Code,,,,,,Hiker,None,Yes,,2,,,,,,,,,,Cell 10_S10_12-Oct-12 to 15-Nov-12
M0000101.JPG,22-Nov-12,8:19 PM,Ok,Cell 10 2011/12,11,15-Nov-12,Code,,,,,,Snowshoe Hare,None,No,,1,,,,,,1,,,,Cell 10_S11_15-Nov-12 to 19-Dec-12
M0000503.JPG,19-Dec-12,12:53 PM,Ok,Cell 10 2011/12,11,15-Nov-12,Code,,,,,,Hiker,None,Yes,,1,,,,,,,,,,Cell 10_S11_15-Nov-12 to 19-Dec-12
M0008802.JPG,16-Jul-12,12:22 AM,Ok,Cell 10 NE 2011/12,7,7-May-12,NH,"possible flying squirrel, need to confirm",,,,,Flying Squirrel,None,No,,1,,,,,,,,,,Cell 10 NE_Session 1_4-Jul-12 to 8-Aug-12
M0010805.JPG,19-Jul-12,10:11 PM,Ok,Cell 10 NE 2011/12,7,5-Jul-12,NH,cow w calf,,,,,Moose,None,No,,2,,,,1,,,,1,,Cell 10 NE_Session 1_4-Jul-12 to 8-Aug-12
M0008802.JPG,16-Jul-12,12:22 AM,Ok,Cell 10 NE 2011/12,7,5-Jul-12,NH,"possible flying squirrel, need to confirm",,,,,Flying Squirrel,None,No,,1,,,,,,,,,,Cell 10 NE_Session 1_4-Jul-12 to 8-Aug-12
M0002301.JPG,08-Jul-12,4:44 AM,Ok,Cell 10 NE 2011/12,7,5-Jul-12,NH,,"no obvious marking, no collar",2012-07-08 5:44,2012-07-08 5:48,4min,Grizzly Bear,None,No,,1,,,,,,,,,,Cell 10 NE_Session 1_4-Jul-12 to 8-Aug-12
