Dataset,Study Region,Project,Camera_Site,Othername,Easting,Northing
13/14,East Slopes,Eastern Slopes Predator Project,Cell 5 2011/12 Summer,,613225,5634951
13/14,East Slopes,Eastern Slopes Predator Project,Cell 10 NW 2011/12,,616488,5632446
13/14,East Slopes,Eastern Slopes Predator Project,Cell 10 SW 2011/12,,616875,5626058
13/14,East Slopes,Eastern Slopes Predator Project,Cell 10 2011/12,,618196,5627432
13/14,East Slopes,Eastern Slopes Predator Project,Cell 10 NE 2011/12,,620496,5627994
13/14,East Slopes,Eastern Slopes Predator Project,Cell 10-A 2011/12,,621085,5626144
13/14,East Slopes,Eastern Slopes Predator Project,Cell 1 2011/12,,623435,5653234
13/14,East Slopes,Eastern Slopes Predator Project,Cell 6 NW 2011/12,,627210,5643133
13/14,East Slopes,Eastern Slopes Predator Project,Cell 17 NW 2011/12,,627339,5618598
13/14,East Slopes,Eastern Slopes Predator Project,Cell 6 SW 2011/12,,627968,5635995
13/14,East Slopes,Eastern Slopes Predator Project,Cell 11 NE 2011/12,,629331,5632086
13/14,East Slopes,Eastern Slopes Predator Project,Cell 6 NE 2011/12,,632304,5643453
13/14,East Slopes,Eastern Slopes Predator Project,Cell 6 2011/12,,632350,5638385
13/14,East Slopes,Eastern Slopes Predator Project,Cell 2 2011/12,,634268,5647155
13/14,East Slopes,Eastern Slopes Predator Project,Cell 18 2011/12,,641923,5619045
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 17 SW 2013,,613224,5634951
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 1 SW 2013,,613340,5650695
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 17 NW 2013,,614570,5639046
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 9 SW 2013,,616087,5641079
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 17 SE 2013,,616489,5632447
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 25 SE 2013,,616874,5626058
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 9 NW 2013,,617368,5645795
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 9 SE 2013,,618196,5642751
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 25 NE 2013,,618197,5627432
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 26 NNW 2013,,620497,5627995
