"site","radius","Road_Hard Surface","Road_Vegetated Verge","Seismic line","Cut Blocks","Road_Trail (Vegetated)","Well Site","Reservoirs","Transmission Line","Pipeline","Rural (Residential_Industrial)","Other Disturbed Vegetation","Cultivation (Crop_Pasture/Bare Ground)","Borrow-Pits_Dugouts/Sumps","Canals","Industrial Site Rural","Road – Hard Surface","Road – Vegetated Verge","Rail – Hard Surface","Rail – Vegetated Verge","Mine Site","Rail_Hard Surface","Rail_Vegetated Verge","Urban","High Density Livestock Operation","Municipal (Water and Sewage)","dense_conifer","moderate_conifer","open_conifer","mixed","herb","snow_or_ice","shrub","barren","water","broadleaf","cloud_or_no_data","treed_wetland","agriculture","open_wetland","shadow_or_no_data","unknown","mean_ndvi_2008","mean_ndvi_2012","mean_tri"
"Cell R8",5250,0.75,1.11,0.44,9.23,0.45,0.01,3.3,0.58,0.06,1.41,0.23,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,5.741909886,42.93676197,3.250022063,18.37713007,3.21999289,2.972457562,9.233885937,0,5.572953205,2.806982934,0,3.195915473,0,1.942628242,0.2639461,0.485390096,7300.964286,7229.845443,2.158459807
"Cell R8",5500,0.73,1.08,0.44,8.58,0.45,0.01,3,0.55,0.07,1.38,0.21,0.21,0,0,0,0,0,0,0,0.08,0,0,0,0,0,5.745976985,42.92950707,3.344342405,17.5426184,3.395301554,2.743568156,9.470018568,0,6.07572161,2.632678856,0,3.265865925,0,1.899824584,0.512285522,0.442266596,7284.42465,7203.833053,2.217878699
"Cell R8",5750,0.71,1.05,0.43,8.27,0.47,0.01,2.75,0.52,0.08,1.33,0.19,0.23,0,0,0,0,0,0,0,0.19,0,0,0,0,0,5.627201491,42.58002974,3.465902748,16.81714264,3.40487949,2.52068912,9.778264989,0,6.538863235,2.516398518,0,3.542150993,0,1.825315006,0.978493579,0.404644673,7258.859343,7162.752567,2.261939959
"Cell R8",6000,0.69,1.03,0.43,7.97,0.51,0.01,2.52,0.6,0.08,1.27,0.22,0.27,0,0,0,0,0,0,0,0.32,0,0,0,0,0,5.569921271,42.2024104,3.552557728,16.15124607,3.709939478,2.355580445,10.20538515,0,6.80701875,2.471136029,0,3.451111483,0,1.864193076,1.28466777,0.374809891,7231.826742,7118.355932,2.30377102
"Cell R8",6250,0.7,1.04,0.42,7.82,0.55,0,2.37,0.63,0.09,1.24,0.41,0.3,0,0,0,0,0,0,0,0.39,0.02,0.02,0,0,0,5.503926058,41.78053569,3.56524287,15.55274598,3.91214361,2.314369359,10.54512514,0,7.052504378,2.542748545,0,3.482119871,0,1.909310717,1.493780945,0.345424796,7202.577894,7081.734552,2.335378413
"Cell R8",6500,0.69,1.03,0.41,7.7,0.55,0.01,2.37,0.62,0.1,1.18,0.38,0.32,0,0,0,0,0,0,0,0.42,0.02,0.03,0,0,0,5.602864907,41.57062823,3.576896549,15.0622269,4.108996593,2.525794983,10.62844206,0,7.223836442,2.616970387,0.004068339,3.419295762,0,1.857429673,1.483163376,0.319364641,7182.922583,7046.809467,2.350215629
"Cell R8",6750,0.72,1.07,0.4,7.44,0.55,0.01,2.43,0.62,0.12,1.15,0.36,0.3,0,0,0,0,0,0,0,0.39,0.04,0.06,0,0,0,5.68169206,41.67142859,3.631079752,14.82136767,4.129010206,2.590626565,10.6720266,0,7.366404697,2.684516076,0.003772562,3.26229759,0,1.757335796,1.430158424,0.298263143,7174.251488,7030.252232,2.359264429
"Cell R8",7000,0.75,1.12,0.38,7.12,0.55,0.01,2.29,0.64,0.16,1.13,0.58,0.28,0,0,0,0,0,0,0,0.46,0.05,0.07,0,0,0,5.756394186,41.7372213,3.673913014,14.76968864,4.165355971,2.482134193,11.03200848,0,7.367319783,2.643747747,0.003507905,3.056639605,0,1.664400965,1.368770835,0.278878437,7173.725572,7026.13271,2.363586343
"Cell R8",7250,0.76,1.13,0.38,6.78,0.55,0.01,2.16,0.67,0.16,1.14,0.79,0.26,0,0,0.01,0,0,0,0,0.61,0.05,0.07,0,0,0,5.782773749,41.46046591,3.747412503,14.67765331,4.331782556,2.376984391,11.55332877,0,7.362702945,2.590331118,0.005495767,2.875208554,0,1.598872235,1.376993511,0.259977045,7153.801228,7015.683581,2.372176349
"Cell R8",750,0,0,1.04,6.69,0,0,1.71,7.07,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.027341079,21.50082615,4.762707314,41.80776783,1.126541018,0.712772238,15.41148546,0,0.597113977,10.57300977,0,1.480259531,0,0,0,0,7857.382353,7734.352941,1.110885404
"Cell R8",7500,0.76,1.14,0.38,6.47,0.53,0.01,2.04,0.72,0.17,1.12,0.86,0.24,0,0,0.01,0,0,0,0,0.59,0.05,0.07,0,0,0,5.773077342,41.22983798,3.774029537,14.64887888,4.397062691,2.291908444,11.82814195,0,7.570094564,2.544455825,0.007639437,2.805584602,0,1.511582217,1.369721861,0.247966004,7134.427407,7002.894054,2.390442958
"Cell R8",7750,0.76,1.12,0.39,6.21,0.52,0.02,1.92,0.72,0.17,1.11,0.83,0.24,0,0,0.01,0,0,0,0,0.6,0.05,0.07,0,0,0,5.755298119,41.11135116,3.728011667,14.52575484,4.549258738,2.210778607,12.03668974,0,7.738960475,2.504200086,0.00715452,2.733462151,0,1.437642666,1.399591406,0.261828207,7119.369387,6991.282124,2.399954913
"Cell R8",8000,0.75,1.11,0.38,5.96,0.51,0.02,1.81,0.72,0.18,1.1,0.79,0.27,0,0,0.03,0,0,0,0,0.6,0.05,0.07,0,0,0,5.798079014,41.0086237,3.678474341,14.23640073,4.740889852,2.117875916,12.14677893,0,7.998727064,2.492356314,0.020456715,2.621799508,0,1.367621821,1.474128174,0.297772099,7100.699576,6965.053467,2.429596291
"Cell R8",8250,0.75,1.1,0.38,5.68,0.5,0.02,1.72,0.71,0.18,1.13,0.74,0.31,0,0,0.04,0,0,0,0,0.57,0.05,0.07,0,0,0,5.865738926,40.9647268,3.657126966,13.94429771,4.789174324,2.089982547,12.19463197,0,8.296845982,2.450828732,0.025411113,2.581062009,0,1.318074549,1.498286892,0.323795376,7077.469723,6943.744829,2.457813697
"Cell R8",8500,0.74,1.09,0,5.47,0.49,0,1.65,0,0.18,1.15,0.7,0.35,0,0,0.04,0,0,0,0,0.53,0.05,0.07,0,0,0,5.941388913,40.90502178,3.643806563,13.77526507,4.838455819,2.065021799,12.03933587,0,8.626551027,2.480456321,0.037232562,2.514303381,0,1.305862472,1.445487303,0.381795471,7058.388915,6920.578675,2.483350585
