"Site","Easting","Northing","start_date","end_date"
"Cell 10 NE 2011/12",620496,5627994,2012-05-07,"2012-07-16"
"Cell 10 NE 2011/12",620496,5627994,2012-08-09,"2012-09-12"
"Cell 10 SW 2011/12",616875,5626058,2012-10-12,"2012-11-13"
"Cell 10 SW 2011/12",616875,5626058,2012-11-13,"2012-12-19"
"Cell 10 SW 2011/12",616875,5626058,2012-09-14,"2012-10-12"
"Cell 10 SW 2011/12",616875,5626058,2012-12-19,"2013-03-27"
"Cell 10 SW 2011/12",616875,5626058,2012-07-06,"2012-07-14"
"Cell 10 SW 2011/12",616875,5626058,2012-07-06,"2012-07-12"
"Cell 10 SW 2011/12",616875,5626058,2012-06-07,"2012-07-26"
"Cell 10 SW 2011/12",616875,5626058,2012-06-07,"2012-07-14"
"Cell 10 SW 2011/12",616875,5626058,2012-06-07,"2012-07-12"
"Cell 10 SW 2011/12",616875,5626058,2012-08-08,"2012-09-14"
"Cell 11 SW 2013",631079,5642024,2013-04-03,"2013-04-08"
"Cell 11 SW 2013",631079,5642024,2013-05-06,"2013-06-07"
"Cell 11 SW 2013",631079,5642024,2013-06-07,"2013-07-04"
"Cell 11 SW 2013",631079,5642024,2013-07-04,"2013-08-14"
"Cell 11 SW 2013",631079,5642024,2013-08-14,"2013-09-18"
"Cell 11 SW 2013",631079,5642024,2013-09-18,"2013-10-10"
"Cell 11 SW 2013",631079,5642024,2013-10-10,"2013-11-14"
"Cell 11 SW 2013",631079,5642024,2013-11-14,"2013-12-11"
"Cell 11 SW 2013",631079,5642024,2013-12-11,"2014-01-07"
"Cell 11 SW 2013",631079,5642024,2014-01-07,"2014-02-05"
"Cell 12 2013",646431,5642517,2012-11-12,"2012-12-11"
"Cell 12 2013",646431,5642517,2012-03-13,"2012-04-12"
"Cell 12 2013",646431,5642517,2011-12-14,"2012-01-06"
"Cell 12 2013",646431,5642517,2012-04-16,"2012-05-23"
"Cell 12 2013",646431,5642517,2012-01-16,"2012-01-16"
