CAMERA,RADIUS,NCELLS,AREA,MIN,MAX,RANGE,MEAN,STD
Cell S94,5000,1480,79453637.2,6943,8935,1992,8098.176351,310.3641268
Cell S95,5000,1476,79238897.64,6188,8935,2747,7968.186314,419.566827
W287,5000,1474,79131527.86,807,9196,8389,4009.48711,2033.35566
W295,5000,1471,78970473.19,1643,8825,7182,7063.825969,1492.927578
W338,5000,1473,79077842.97,692,9866,9174,4245.363204,2539.749205
W342,5000,1471,78970473.19,1245,8356,7111,5349.114208,2166.535529
W345,5000,1476,79238897.64,3045,8605,5560,7461.224255,598.8073551
W387,5000,1470,78916788.3,1191,9937,8746,5778.439456,2445.553524
W393,5000,1472,79024158.08,1152,9522,8370,6296.133152,1989.7298
W440,5000,1473,79077842.97,1125,9047,7922,5523.22539,2257.201222
W441,5000,1475,79185212.75,2391,8634,6243,7029.530169,956.3225424
W445,5000,1474,79131527.86,2376,8498,6122,6770.361601,951.7732398
W500,5000,1473,79077842.97,1427,8823,7396,6170.775967,1846.427842
1,5250,1621,87023206.69,1187,9230,8043,7007.83467,1639.147294
2,5250,1624,87184261.36,1571,9110,7539,6198.719212,1708.322238
3,5250,1622,87076891.58,1373,9275,7902,7199.318742,1134.860787
4,5250,1624,87184261.36,1834,8716,6882,7095.021552,1114.94318
5,5250,1623,87130576.47,-1875,9245,11120,6425.473814,2097.196553
6,5250,1624,87184261.36,1470,9386,7916,6676.426108,1898.356752
7,5250,1621,87023206.69,1418,9773,8355,6673.706354,1736.302212
8,5250,1621,87023206.69,1422,8838,7416,6854.078964,1460.658009
9,5250,1625,87237946.25,6027,8751,2724,7849.332308,367.5074216
10,5250,1621,87023206.69,448,9915,9467,5728.927205,2543.628211
11,5250,1632,87613740.48,-195,9388,9583,5284.415441,2421.215638
12,5250,1633,87667425.37,700,9569,8869,4323.739743,2398.433549
13,5250,1625,87237946.25,1506,9211,7705,6678.345231,1544.698429
14,5250,1623,87130576.47,4359,8852,4493,7944.829945,666.5357738
16,5250,1629,87452685.81,-506,9976,10482,4876.000614,2892.088868
17,5250,1624,87184261.36,-471,9942,10413,6753.901478,1701.828508
18,5250,1624,87184261.36,854,9982,9128,4523.815271,2656.6804
19,5250,1628,87399000.92,716,9358,8642,4749.850123,2467.387071
20,5250,1626,87291631.14,5141,9288,4147,7729.877614,358.7881944
21,5250,1623,87130576.47,6613,9040,2427,8218.65496,294.5723079
22,5250,1622,87076891.58,-1894,9795,11689,4749.168927,2716.385035
23,5250,1618,86862152.02,-10,9874,9884,5052.470334,2712.086218
24,5250,1627,87345316.03,1032,9336,8304,6778.535341,1934.454362
25,5250,1622,87076891.58,1418,9284,7866,6885.933416,1469.089791
26,5250,1626,87291631.14,6199,8547,2348,7789.557811,388.740986
27,5250,1625,87237946.25,1316,8549,7233,7377.929231,1312.563037
28,5250,1627,87345316.03,1401,9014,7613,7221.709896,1303.494176
29,5250,1628,87399000.92,1454,8711,7257,7356.802826,1163.210629
31,5250,1624,87184261.36,1849,9931,8082,7540.074507,901.4693814
