CAMERA,RADIUS,NCELLS,AREA,MIN,MAX,RANGE,MEAN,STD
1,250,4,214739.56,7780,7952,172,7846,71.80529228
2,250,3,161054.67,6132,6739,607,6532.333333,283.128161
3,250,4,214739.56,7846,7880,34,7863,17
4,250,4,214739.56,7700,7747,47,7726.5,18.17278185
5,250,4,214739.56,6666,6895,229,6723.25,99.15990873
6,250,4,214739.56,7882,8211,329,7991.25,134.3156264
7,250,3,161054.67,6932,8301,1369,7563.333333,563.9269062
8,250,4,214739.56,5047,8121,3074,7352.5,1331.081046
9,250,4,214739.56,8329,8443,114,8365.5,45.76843891
10,250,4,214739.56,6644,7670,1026,7327,411.9860435
11,250,4,214739.56,6691,7603,912,7089.25,382.9401879
12,250,4,214739.56,7098,7706,608,7445.75,267.5036215
13,250,4,214739.56,6846,7605,759,7146.75,279.6635255
14,250,4,214739.56,6238,7844,1606,7111.25,682.5984819
16,250,4,214739.56,4085,8748,4663,7150.25,1901.771723
17,250,4,214739.56,6505,7031,526,6768,263
18,250,3,161054.67,7781,7989,208,7850.333333,98.05214032
19,250,2,107369.78,6881,7968,1087,7424.5,543.5
20,250,4,214739.56,7766,8384,618,8095.25,284.237027
21,250,4,214739.56,7979,8005,26,7998,10.9772492
22,250,3,161054.67,6708,7652,944,7098.666667,402.1851426
23,250,5,268424.45,7412,8118,706,7855.2,287.2096099
24,250,4,214739.56,7391,8585,1194,7853,478.4788397
25,250,4,214739.56,7234,7807,573,7511,277.3256209
26,250,3,161054.67,7467,7769,302,7581.666667,133.5697903
27,250,4,214739.56,7676,8302,626,7911.75,259.8329993
28,250,4,214739.56,7469,7978,509,7825.75,208.3703134
29,250,4,214739.56,8295,8419,124,8356.5,43.84347158
31,250,4,214739.56,7895,8340,445,8030.5,183.0252715
32,250,3,161054.67,6965,7538,573,7232.666667,235.4376539
33,250,4,214739.56,6913,7177,264,7062.25,102.443582
34,250,3,161054.67,5970,7240,1270,6681.333333,529.5943941
10A,250,4,214739.56,8049,8279,230,8221.5,99.59292144
10NE,250,4,214739.56,7208,7432,224,7292.75,91.047721
10NW,250,3,161054.67,7405,7467,62,7425.666667,29.22708029
10SW,250,4,214739.56,7163,7579,416,7362.5,199.8618273
11NE,250,4,214739.56,7293,7711,418,7599.5,177.3266759
11NW,250,4,214739.56,7028,7703,675,7372.75,291.2965628
11SE,250,3,161054.67,7520,7885,365,7704.666667,149.0421268
17NW,250,3,161054.67,6916,7092,176,7033.333333,82.96719566
17SE,250,3,161054.67,6461,6829,368,6706.333333,173.4768637
17SW,250,4,214739.56,8117,8334,217,8225.5,108.5
22S,250,3,161054.67,7291,8498,1207,7930,495.306639
23S,250,4,214739.56,2109,2109,0,2109,0
24S,250,3,161054.67,7463,8585,1122,8106,472.5060846
27A,250,4,214739.56,7972,8138,166,8087.5,67.08762926
2A,250,4,214739.56,7379,7844,465,7546.75,191.1156391
5NE,250,3,161054.67,6559,7229,670,7005.666667,315.8410289
5NW,250,3,161054.67,5912,6185,273,6003,128.6934342
5SE,250,4,214739.56,7938,8449,511,8072.75,217.3032156
6NE,250,4,214739.56,6775,8504,1729,7981,710.7605082
6NW,250,4,214739.56,8101,8516,415,8256.75,157.4299447
6SW,250,3,161054.67,8669,8808,139,8746.666667,57.90989169
Cell 1 2011/12,250,4,214739.56,7780,7952,172,7846,71.80529228
Cell 1 SW 2013,250,4,214739.56,6901,7151,250,7024.5,123.5182173
Cell 10 2011/12,250,4,214739.56,6644,7670,1026,7327,411.9860435
Cell 10 NE 2011/12,250,4,214739.56,7208,7432,224,7292.75,91.047721
Cell 10 NW 2011/12,250,3,161054.67,7405,7467,62,7425.666667,29.22708029
Cell 10 SE 2013,250,4,214739.56,8101,8516,415,8256.75,157.4299447
Cell 10 SW 2011/12,250,4,214739.56,7163,7579,416,7362.5,199.8618273
Cell 10-A 2011/12,250,4,214739.56,8049,8279,230,8221.5,99.59292144
Cell 11 NE 2011/12,250,4,214739.56,7293,7711,418,7599.5,177.3266759
Cell 11 NW 2013,250,4,214739.56,7436,8077,641,7912,274.9281724
Cell 11 SW 2013,250,4,214739.56,7328,7515,187,7407.75,74.05867606
Cell 12 2013,250,3,161054.67,6932,8301,1369,7563.333333,563.9269062
Cell 13 2013,250,4,214739.56,6190,8121,1931,7184,860.858583
Cell 14 2013,250,4,214739.56,7612,7772,160,7705.5,60.38832669
Cell 15 2013,250,3,161054.67,8039,8101,62,8059.666667,29.22708029
Cell 15-A 2013,250,4,214739.56,7628,7741,113,7708.25,46.9114858
Cell 16 2013,250,3,161054.67,7722,7815,93,7753,43.84062043
Cell 17 NW 2011/12,250,3,161054.67,6916,7092,176,7033.333333,82.96719566
Cell 17 NW 2013,250,4,214739.56,5430,6000,570,5814.25,224.7024421
Cell 17 SE 2013,250,3,161054.67,7405,7467,62,7425.666667,29.22708029
Cell 17 SW 2013,250,4,214739.56,6666,7054,388,6877.5,138.2904552
Cell 18 2011/12,250,3,161054.67,7781,7989,208,7850.333333,98.05214032
Cell 18 NE 2013,250,4,214739.56,7697,8808,1111,8124.25,414.4830364
Cell 18 NW 2013,250,3,161054.67,5516,7938,2422,7023.333333,1073.921578
Cell 18 SE 2013,250,4,214739.56,7293,7711,418,7599.5,177.3266759
Cell 18 SSE 2013,250,3,161054.67,7690,7877,187,7752.333333,88.15264539
Cell 19 NW 2013,250,3,161054.67,8139,8172,33,8150,15.55634919
Cell 2 2011/12,250,3,161054.67,6132,6739,607,6532.333333,283.128161
Cell 2 NE 2013,250,4,214739.56,7112,8329,1217,7813.5,529.2497048
Cell 2 SW 2013,250,3,161054.67,7780,7952,172,7868,70.27564775
Cell 20 2013,250,4,214739.56,7895,8199,304,8082.5,113.1912099
Cell 21 2013,250,4,214739.56,5343,5738,395,5631.75,166.8223231
Cell 22 2013,250,3,161054.67,7184,7249,65,7217.666667,26.58738214
Cell 23 2013,250,4,214739.56,8374,8723,349,8470.5,146.5614206
Cell 24 2013,250,3,161054.67,7763,8143,380,7942.666667,155.8211225
Cell 25 NE 2013,250,4,214739.56,6644,7670,1026,7327,411.9860435
Cell 25 SE 2013,250,4,214739.56,7163,7579,416,7362.5,199.8618273
Cell 26 NE 2013,250,4,214739.56,6691,7603,912,7089.25,382.9401879
Cell 26 NNW 2013,250,4,214739.56,7208,7432,224,7292.75,91.047721
