CAMERA,RADIUS,NCELLS,AREA,MIN,MAX,RANGE,MEAN,STD
Cell 6 NW 2011/12,4250,566753,56675300,0,50.66104126,50.66104126,4.08457922,3.119108182
Cell 6 SW 2011/12,4250,566769,56676900,0,39.44970703,39.44970703,4.309266376,3.123036063
Cell 60 2013,4250,566600,56660000,0.029541016,12.67251587,12.64297485,2.733602002,1.322567682
Cell 61 2013,4250,566524,56652400,0,17.47869873,17.47869873,2.637580828,1.299167734
Cell 7 2013,4250,566565,56656500,0,8.291366577,8.291366577,0.426149078,0.432721631
Cell 9 NW 2013,4250,566801,56680100,0,46.82669067,46.82669067,3.817659384,3.367178665
Cell 9 SE 2013,4250,566794,56679400,0,45.62338257,45.62338257,3.993598118,3.337225045
Cell 9 SW 2013,4250,566811,56681100,0,42.16265869,42.16265869,3.270527166,3.008789367
Cell R1,4250,566839,56683900,0,92.10092163,92.10092163,2.928591023,3.357255974
Cell R10,4250,566672,56667200,0.005325317,10.15519714,10.14987183,2.684128102,1.139372448
Cell R100,4250,566582,56658200,0.007751465,17.9304657,17.92271423,2.646220854,1.46740417
Cell R101,4250,566582,56658200,0.007751465,8.867233276,8.859481812,1.768559206,1.122265803
Cell R104,4250,566649,56664900,9.15527E-05,43.83468628,43.83459473,2.743787137,2.312863958
Cell R105,4250,566611,56661100,0,14.16714478,14.16714478,2.630897509,1.562349687
Cell R106,4250,566602,56660200,0,25.82263184,25.82263184,3.241337523,2.038554116
Cell R107,4250,566535,56653500,0,10.29447937,10.29447937,1.758893724,1.281117444
Cell R11,4250,566634,56663400,0.002243042,8.611053467,8.608810425,1.175544393,0.8218664
Cell R111,4250,566636,56663600,0,49.62634277,49.62634277,2.83682854,2.115816741
Cell R112,4250,566574,56657400,0.017105103,15.37870789,15.36160278,2.774667476,1.347795849
Cell R113,4250,566578,56657800,0.008178711,18.16070557,18.15252686,3.097760707,1.670343338
Cell R114,4250,566548,56654800,0.000289917,9.409957886,9.409667969,1.694924393,1.07088559
Cell R117,4250,566607,56660700,0.010604858,43.36056519,43.34996033,1.997284594,1.556896953
Cell R118,4250,566610,56661000,0.008285522,18.55122375,18.54293823,2.098334672,1.184519413
Cell R119,4250,566575,56657500,0.008178711,35.40496826,35.39678955,2.950927759,1.660731494
Cell R120,4250,566526,56652600,0,27.52972412,27.52972412,2.579071287,1.421606375
Cell R121,4250,566517,56651700,0,10.17036438,10.17036438,1.843441143,1.052986435
Cell R123,4250,566598,56659800,0.016479492,22.71704102,22.70056152,2.000895528,1.034508249
Cell R124,4250,566590,56659000,0.029541016,12.67251587,12.64297485,2.751078789,1.335895879
Cell R125,4250,566563,56656300,0.013977051,12.9241333,12.91015625,2.784066618,1.533386164
Cell R126,4250,566537,56653700,0,18.67318726,18.67318726,2.739275214,1.354154976
Cell R15,4250,566808,56680800,0,44.25393677,44.25393677,4.404933709,3.256333632
Cell R16,4250,566793,56679300,0,46.82669067,46.82669067,3.817802434,3.366754324
Cell R17,4250,566736,56673600,0,24.40698242,24.40698242,3.341186715,2.101247594
Cell R18,4250,566723,56672300,0,44.39068604,44.39068604,3.919722426,2.63226514
Cell R19,4250,566709,56670900,0.01965332,26.16247559,26.14282227,3.009551448,1.472828885
Cell R20,4250,566667,56666700,0.009063721,10.54586792,10.5368042,2.461596331,1.42772467
Cell R21,4250,566632,56663200,0.002349854,30.0158844,30.01353455,2.255079394,1.290550006
Cell R22,4250,566631,56663100,0.002349854,11.6738739,11.67152405,1.496189099,0.990305767
Cell R24,4250,566826,56682600,0,40.49505615,40.49505615,2.757241193,2.767843508
Cell R25,4250,566759,56675900,0,50.66104126,50.66104126,5.35288216,3.245233789
Cell R26,4250,566767,56676700,0,50.66104126,50.66104126,4.08070693,3.09984888
Cell R27,4250,566758,56675800,0,29.96224976,29.96224976,2.847825455,2.529567938
Cell R28,4250,566702,56670200,0.01550293,46.78118896,46.76568604,3.256655839,2.12651659
Cell R29,4250,566668,56666800,0,67.47492981,67.47492981,2.853907428,1.555436378
Cell R30,4250,566632,56663200,0.003677368,30.0158844,30.01220703,2.53613744,1.740851911
Cell R31,4250,566612,56661200,3.05176E-05,13.33770752,13.337677,1.476110781,1.093371924
Cell R35,4250,566822,56682200,0,35.94499207,35.94499207,2.183455586,2.203878593
Cell R36,4250,566781,56678100,0,31.73910522,31.73910522,3.165482723,2.294574742
Cell R37,4250,566748,56674800,0,41.37335205,41.37335205,4.154036138,2.715309619
Cell R38,4250,566720,56672000,0.071182251,41.37335205,41.3021698,4.427957524,2.318957286
Cell R39,4250,566672,56667200,3.05176E-05,27.36763,27.36759949,2.831749963,1.672218477
Cell R40,4250,566641,56664100,0,25.16889954,25.16889954,2.367519256,1.545563977
Cell R46,4250,566805,56680500,0,39.82223511,39.82223511,3.985682218,3.096993707
Cell R47,4250,566757,56675700,0,42.80111694,42.80111694,3.946465944,2.73906454
Cell R48,4250,566737,56673700,0,47.97770691,47.97770691,4.375890214,2.758784006
Cell R49,4250,566765,56676500,0,47.97770691,47.97770691,4.448393018,2.696306276
Cell R5,4250,566808,56680800,0,71.7505188,71.7505188,4.410351199,3.174188673
Cell R50,4250,566703,56670300,0,58.74359131,58.74359131,4.877916937,2.709512162
Cell R51,4250,566659,56665900,0,27.36763,27.36763,2.643202819,1.754952579
Cell R52,4250,566630,56663000,0,29.07504272,29.07504272,2.052607951,1.46107846
Cell R53,4250,566640,56664000,0,17.76036072,17.76036072,2.253573214,1.514322777
Cell R54,4250,566572,56657200,0.000167847,14.65290833,14.65274048,1.403932287,0.906725629
Cell R58,4250,501793,50179300,0,46.42706299,46.42706299,5.040365409,3.198099943
Cell R59,4250,566746,56674600,4.57764E-05,46.42706299,46.42701721,4.133577917,2.544589784
Cell R6,4250,566752,56675200,0,36.07049561,36.07049561,3.122582259,2.349385944
Cell R60,4250,566746,56674600,0,38.53897095,38.53897095,2.557843452,2.124999494
Cell R61,4250,566680,56668000,0,43.65084839,43.65084839,4.311879947,2.947945488
Cell R62,4250,566662,56666200,0.012710571,75.90997314,75.89726257,4.137509197,2.66578175
Cell R63,4250,566641,56664100,0.012634277,37.44384766,37.43121338,2.719584495,1.772533259
Cell R64,4250,566617,56661700,0.014511108,35.90357971,35.8890686,2.38383695,1.165929492
Cell R65,4250,566582,56658200,0.003860474,35.90357971,35.89971924,2.123892688,1.222415824
Cell R66,4250,566575,56657500,0.000167847,9.821289063,9.821121216,1.264184229,0.907255013
Cell R69,4250,457090,45709000,0,33.77294922,33.77294922,4.843208697,2.745172973
Cell R7,4250,566745,56674500,0,27.57203674,27.57203674,3.063392144,2.700849445
Cell R70,4250,566754,56675400,0,44.40478516,44.40478516,3.740787706,3.082668627
Cell R71,4250,566709,56670900,0,29.97949219,29.97949219,3.187697111,2.8803384
Cell R72,4250,566704,56670400,0,43.65084839,43.65084839,4.70484961,3.132498023
Cell R73,4250,566688,56668800,0,38.22842407,38.22842407,3.765198814,2.667298473
Cell R74,4250,566634,56663400,0.018081665,31.43579102,31.41770935,2.91651914,1.73003824
Cell R75,4250,566622,56662200,0.01020813,38.91838074,38.90817261,2.14957212,1.338870303
Cell R76,4250,566590,56659000,0.003997803,14.54930115,14.54530334,1.773926859,1.210578545
Cell R77,4250,566556,56655600,0.000198364,12.95585632,12.95565796,1.626345345,1.171065013
Cell R8,4250,566711,56671100,0,25.76072693,25.76072693,1.951564772,1.937047704
Cell R80,4250,566734,56673400,0,44.40478516,44.40478516,4.01056119,3.338621573
Cell R81,4250,479076,47907600,0,28.8069458,28.8069458,3.003025806,2.658778479
Cell R82,4250,566697,56669700,0,79.26013184,79.26013184,5.102479743,3.083517159
Cell R83,4250,566679,56667900,0.00201416,58.49942017,58.49740601,4.676530214,3.019733825
Cell R84,4250,566629,56662900,0.005874634,43.78808594,43.7822113,4.765897157,2.670934763
Cell R85,4250,566638,56663800,0.005874634,29.9836731,29.97779846,3.427161145,1.929788664
Cell R86,4250,566564,56656400,0.005554199,17.36358643,17.35803223,2.074836287,1.220254985
Cell R87,4250,566566,56656600,0.005554199,17.36358643,17.35803223,1.845888025,1.150559
Cell R9,4250,566694,56669400,0,16.5922699,16.5922699,2.075361851,1.628811784
